ImgID;Detector;Descriptor;TTCLidar(s);TTCCamera(s);Xmin(m)
17;AKAZE;SIFT;-9.99424;9.02048;6.896
18;AKAZE;SIFT;8.30978;8.9967;6.814
;;;;;
1;SIFT;BRIEF;12.9722;12.0824;7.913
2;SIFT;BRIEF;12.264;14.2362;7.849
3;SIFT;BRIEF;13.9161;15.0724;7.793
4;SIFT;BRIEF;7.11572;21.3087;7.685
5;SIFT;BRIEF;16.2511;13.5982;7.638
6;SIFT;BRIEF;12.4213;12.5451;7.577
7;SIFT;BRIEF;34.3404;14.581;7.555
8;SIFT;BRIEF;9.34376;15.2576;7.475
9;SIFT;BRIEF;18.1318;13.0439;7.434
10;SIFT;BRIEF;18.0318;10.3097;7.393
11;SIFT;BRIEF;3.83244;13.0465;7.205
12;SIFT;BRIEF;-10.8537;9.86398;7.272
13;SIFT;BRIEF;9.22307;10.1282;7.194
14;SIFT;BRIEF;10.9678;9.26794;7.129
15;SIFT;BRIEF;8.09422;9.99465;7.042
16;SIFT;BRIEF;3.17535;9.06852;6.827
17;SIFT;BRIEF;-9.99424;8.85941;6.896
18;SIFT;BRIEF;8.30978;9.23255;6.814
;;;;;
1;SIFT;FREAK;12.9722;11.3067;7.913
2;SIFT;FREAK;12.264;13.8331;7.849
3;SIFT;FREAK;13.9161;13.6139;7.793
4;SIFT;FREAK;7.11572;21.1717;7.685
5;SIFT;FREAK;16.2511;13.5635;7.638
6;SIFT;FREAK;12.4213;12.2414;7.577
7;SIFT;FREAK;34.3404;14.8171;7.555
8;SIFT;FREAK;9.34376;15.2346;7.475
9;SIFT;FREAK;18.1318;14.3898;7.434
10;SIFT;FREAK;18.0318;11.5719;7.393
11;SIFT;FREAK;3.83244;12.0598;7.205
12;SIFT;FREAK;-10.8537;10.093;7.272
13;SIFT;FREAK;9.22307;10.2522;7.194
14;SIFT;FREAK;10.9678;9.89583;7.129
15;SIFT;FREAK;8.09422;9.19704;7.042
16;SIFT;FREAK;3.17535;9.49775;6.827
17;SIFT;FREAK;-9.99424;9.12142;6.896
18;SIFT;FREAK;8.30978;9.9319;6.814
;;;;;
1;SIFT;SIFT;12.9722;11.9768;7.913
2;SIFT;SIFT;12.264;12.5605;7.849
3;SIFT;SIFT;13.9161;13.1746;7.793
4;SIFT;SIFT;7.11572;19.6442;7.685
5;SIFT;SIFT;16.2511;15.27;7.638
6;SIFT;SIFT;12.4213;11.1137;7.577
7;SIFT;SIFT;34.3404;13.9085;7.555
8;SIFT;SIFT;9.34376;15.6297;7.475
9;SIFT;SIFT;18.1318;15.0375;7.434
10;SIFT;SIFT;18.0318;10.5588;7.393
11;SIFT;SIFT;3.83244;11.71;7.205
12;SIFT;SIFT;-10.8537;11.6294;7.272
13;SIFT;SIFT;9.22307;9.24576;7.194
14;SIFT;SIFT;10.9678;10.6436;7.129
15;SIFT;SIFT;8.09422;10.4383;7.042
16;SIFT;SIFT;3.17535;9.57951;6.827
17;SIFT;SIFT;-9.99424;8.87285;6.896
18;SIFT;SIFT;8.30978;8.99715;6.814
